checkpoint,skip,source_stage,all_masked_visible_ratio,occupied_masked_visible_ratio,empty_masked_visible_ratio
baseline_e300,decoder2_skip,stage0,0.7577736514591847,0.6278110101905474,0.7846814283822516
baseline_e300,decoder3_skip,stage1,0.6989282867282138,0.5488611288571472,0.7770966080146486
baseline_e300,decoder4_skip,stage2,0.6995210679648665,0.8304222185175227,0.6466533417018674
cosine_ramp_e300,decoder2_skip,stage0,0.7303278838797561,0.598653552015601,0.7600126393456677
cosine_ramp_e300,decoder3_skip,stage1,0.746341675280833,0.6003215540710587,0.8139365465600669
cosine_ramp_e300,decoder4_skip,stage2,0.7871931052399388,0.965901021536163,0.7171817353956089
cosine_coord_jitter_e100,decoder2_skip,stage0,0.6070944550947646,0.4830299219041592,0.6366845240601553
cosine_coord_jitter_e100,decoder3_skip,stage1,0.7066220175517569,0.46061195397283516,0.8735773140249117
cosine_coord_jitter_e100,decoder4_skip,stage2,0.5133935866376509,0.6483454405791815,0.45788561067565364
dither_shuffle_visible_e100,decoder2_skip,stage0,1.2778176133047203,0.6959190655207161,1.5300742107850547
dither_shuffle_visible_e100,decoder3_skip,stage1,1.3940292563302195,0.8825123425850592,1.6674920381029006
dither_shuffle_visible_e100,decoder4_skip,stage2,0.7602798657437322,0.6790122557617884,0.8039766732398662
