checkpoint,scene,stage,masked_grad_mean,visible_grad_mean,masked_visible_grad_ratio,masked_count,visible_count,loss
baseline_coord_jitter_e100,3dfront_0083_01,0,9.171320698442287e-07,3.482252850517398e-07,2.6337320804595947,48640,15360,0.03900366276502609
baseline_coord_jitter_e100,3dfront_0083_01,1,3.6740553355230077e-07,2.5845682216640853e-07,1.4215354919433594,6080,1920,0.03900366276502609
baseline_coord_jitter_e100,3dfront_0083_01,2,8.013750552038346e-09,7.220930076101695e-09,1.1097947359085083,760,240,0.03900366276502609
cosine_coord_jitter_e100,3dfront_0083_01,0,9.825033657762106e-07,4.0694123981666053e-07,2.4143617153167725,48640,15360,0.03849373385310173
cosine_coord_jitter_e100,3dfront_0083_01,1,5.774476790065819e-07,3.7108665651430783e-07,1.55609929561615,6080,1920,0.03849373385310173
cosine_coord_jitter_e100,3dfront_0083_01,2,9.881225615515632e-09,8.8760154781653e-09,1.1132501363754272,760,240,0.03849373385310173
visibility_cosine_skip_gate_e100,3dfront_0083_01,0,3.0596136184612988e-06,1.1915595905520604e-06,2.5677387714385986,48640,15360,0.0964413434267044
visibility_cosine_skip_gate_e100,3dfront_0083_01,1,1.2824775694753043e-06,7.229941161313036e-07,1.7738423347473145,6080,1920,0.0964413434267044
visibility_cosine_skip_gate_e100,3dfront_0083_01,2,2.2872749028124417e-08,1.6447367912064692e-08,1.3906631469726562,760,240,0.0964413434267044
