checkpoint,scene,mode,loss,loss_rgb_occupied,loss_rgb_removed_occupied,loss_rgb_visible_occupied,loss_alpha_removed,removed_count,visible_count,occupied_count
baseline_coord_jitter_e100,3dfront_0083_01,normal,0.03900366276502609,0.01643582433462143,0.019954731687903404,0.004313107114285231,0.022567840293049812,1078016.0,342784.0,329714.0
baseline_coord_jitter_e100,3dfront_0083_01,masked_zero,0.05302744358778,0.029416024684906006,0.04014712944626808,0.00482768751680851,0.023611420765519142,1041920.0,378880.0,329714.0
baseline_coord_jitter_e100,3dfront_0083_01,visible_zero,0.053769826889038086,0.027273353189229965,0.026010096073150635,0.03092140145599842,0.02649647556245327,1084672.0,336128.0,329714.0
baseline_coord_jitter_e100,3dfront_0083_01,all_zero,0.1565191149711609,0.0847085565328598,0.08302610367536545,0.08921270072460175,0.07181056588888168,1044992.0,375808.0,329714.0
baseline_coord_jitter_e100,3dfront_0042_01,normal,0.028600651770830154,0.009004472754895687,0.011620473116636276,0.002461085794493556,0.019596178084611893,1047808.0,415232.0,344818.0
baseline_coord_jitter_e100,3dfront_0042_01,masked_zero,0.05345626920461655,0.02623768337070942,0.03196702152490616,0.0033814345952123404,0.027218587696552277,1081472.0,381568.0,344818.0
baseline_coord_jitter_e100,3dfront_0042_01,visible_zero,0.050850894302129745,0.020383134484291077,0.018566470593214035,0.025199096649885178,0.03046775981783867,1108096.0,354944.0,344818.0
baseline_coord_jitter_e100,3dfront_0042_01,all_zero,0.15326134860515594,0.07503308355808258,0.07709789276123047,0.06804786622524261,0.07822826504707336,1101440.0,361600.0,344818.0
cosine_coord_jitter_e100,3dfront_0083_01,normal,0.03849373385310173,0.01664506085216999,0.0198059119284153,0.005755855701863766,0.02184867300093174,1078016.0,342784.0,329714.0
cosine_coord_jitter_e100,3dfront_0083_01,masked_zero,0.053389772772789,0.029964126646518707,0.04080921411514282,0.0051146200858056545,0.023425647988915443,1041920.0,378880.0,329714.0
cosine_coord_jitter_e100,3dfront_0083_01,visible_zero,0.059505682438611984,0.03498074784874916,0.031583160161972046,0.044792357832193375,0.024524934589862823,1084672.0,336128.0,329714.0
cosine_coord_jitter_e100,3dfront_0083_01,all_zero,0.16043956577777863,0.08730562776327133,0.08350180089473724,0.09748900681734085,0.0731339380145073,1044992.0,375808.0,329714.0
cosine_coord_jitter_e100,3dfront_0042_01,normal,0.02858974039554596,0.01006167009472847,0.012783386744558811,0.0032538536470383406,0.01852807030081749,1047808.0,415232.0,344818.0
cosine_coord_jitter_e100,3dfront_0042_01,masked_zero,0.05194665491580963,0.025731483474373817,0.03132718428969383,0.0034083437640219927,0.026215169578790665,1081472.0,381568.0,344818.0
cosine_coord_jitter_e100,3dfront_0042_01,visible_zero,0.04795058071613312,0.023019196465611458,0.02097548544406891,0.028437064960598946,0.02493138425052166,1108096.0,354944.0,344818.0
cosine_coord_jitter_e100,3dfront_0042_01,all_zero,0.157247856259346,0.08618694543838501,0.08533040434122086,0.08908462524414062,0.071060910820961,1101440.0,361600.0,344818.0
visibility_cosine_skip_gate_e100,3dfront_0083_01,normal,0.0964413434267044,0.05766666680574417,0.06796200573444366,0.02219901978969574,0.03877467289566994,1078016.0,342784.0,329714.0
visibility_cosine_skip_gate_e100,3dfront_0083_01,masked_zero,0.03972189128398895,0.01878967136144638,0.025004636496305466,0.004549231380224228,0.020932219922542572,1041920.0,378880.0,329714.0
visibility_cosine_skip_gate_e100,3dfront_0083_01,visible_zero,0.3646976947784424,0.2186863124370575,0.20953106880187988,0.24512498080730438,0.1460113674402237,1084672.0,336128.0,329714.0
visibility_cosine_skip_gate_e100,3dfront_0083_01,all_zero,0.19102394580841064,0.12532711029052734,0.12416785955429077,0.1284305453300476,0.0656968355178833,1044992.0,375808.0,329714.0
visibility_cosine_skip_gate_e100,3dfront_0042_01,normal,0.07923103123903275,0.04765705764293671,0.05931328609585762,0.01850139908492565,0.03157397359609604,1047808.0,415232.0,344818.0
visibility_cosine_skip_gate_e100,3dfront_0042_01,masked_zero,0.03745280206203461,0.015325031243264675,0.018431909382343292,0.0029306509532034397,0.022127771750092506,1081472.0,381568.0,344818.0
visibility_cosine_skip_gate_e100,3dfront_0042_01,visible_zero,0.4445057809352875,0.3210175037384033,0.3332713544368744,0.288532555103302,0.12348828464746475,1108096.0,354944.0,344818.0
visibility_cosine_skip_gate_e100,3dfront_0042_01,all_zero,0.16692876815795898,0.10338681191205978,0.11082584410905838,0.07822063565254211,0.0635419562458992,1101440.0,361600.0,344818.0
