job_id,job_name,condition,seed,percent_train,epochs,lr,batch_size,mae_init_mode,checkpoint,save_name,expected_eval
1940858.pbs1,anc_fcosp_s_p50_s1,scratch,1,0.50,1000,1e-4,8,direct,,front3d_anchor_fcosp_maearch_scratch_p50_seed1_rpn1000,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_fcosp_maearch_scratch_p50_seed1_rpn1000_eval/eval.json
1940859.pbs1,anc_fcosp_j_p50_s1,joint_e300,1,0.50,1000,1e-4,8,direct,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_mae/results/nerfmae_all_p1.0_e300_seed1/epoch_300.pt,front3d_anchor_fcosp_maearch_joint_e300_p50_seed1_rpn1000,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_fcosp_maearch_joint_e300_p50_seed1_rpn1000_eval/eval.json
1940860.pbs1,anc_fcosp_c_p50_s1,cosine_e300,1,0.50,1000,1e-4,8,direct,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_mae/results/nerfmae_alpha_rgba_curr_cosine_ramp_p1.0_e300_seed1/epoch_300.pt,front3d_anchor_fcosp_maearch_cosine_e300_p50_seed1_rpn1000,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/front3d_anchor_fcosp_maearch_cosine_e300_p50_seed1_rpn1000_eval/eval.json
