condition,failed_job_id,retry_job_id,normalize_density,checkpoint,expected_eval,status
baseline_e300,1897280.pbs1,1897293.pbs1,0,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_mae/results/nerfmae_all_p1.0_e300_seed1/epoch_300.pt,output/nerf_rpn/results/baseline_e300_scannet_nonorm_fcos1000_seed1_eval/eval.json,canceled_flag_not_operational_for_scannet
cosine_ramp_e300,1897281.pbs1,1897294.pbs1,0,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_mae/results/nerfmae_alpha_rgba_curr_cosine_ramp_p1.0_e300_seed1/epoch_300.pt,output/nerf_rpn/results/cosine_ramp_e300_scannet_nonorm_fcos1000_seed1_eval/eval.json,canceled_flag_not_operational_for_scannet
cosine_coord_jitter_e100,1897282.pbs1,1897295.pbs1,0,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_mae/results/nerfmae_cosine_coord_jitter_p1.0_e100_seed1_abci3diag_opt1n8g_det0/epoch_100.pt,output/nerf_rpn/results/cosine_coord_jitter_e100_scannet_nonorm_fcos1000_seed1_eval/eval.json,canceled_flag_not_operational_for_scannet
surface_cosine_jitter_e300,1897283.pbs1,1897296.pbs1,0,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_mae/results/nerfmae_surface_maturation_cosine_coord_jitter_tau0p7_k30_w0p05_p1.0_e300_seed1_abci3smcos_cj_det0_1n8g/epoch_300.pt,output/nerf_rpn/results/surface_cosine_jitter_e300_scannet_nonorm_fcos1000_seed1_eval/eval.json,canceled_flag_not_operational_for_scannet
