metric,mean,std,median,min,max
n_voxels,2443092.0,662551.8940701928,2487840.0,1152000.0,3918720.0
alpha_mean,0.08522891495376825,0.015261782641832703,0.08526911586523056,0.049551550298929214,0.11184518039226532
alpha_std,0.1924393106251955,0.023377925356996457,0.19349773973226547,0.14837254583835602,0.23592117428779602
alpha_p50,7.897615432739258e-08,4.932059256957696e-07,0.0,0.0,3.159046173095703e-06
alpha_p90,0.2894271937012673,0.06673934048707711,0.2846839487552645,0.15353310108184826,0.41636254787445076
alpha_p95,0.5390076554566616,0.11128655474781289,0.5436644583940493,0.34660841226577754,0.7529995381832141
alpha_p99,0.9485325113534927,0.047430248722125104,0.9660359248518945,0.8285222369432442,0.9999970197677612
alpha_hist_entropy_64,2.524553550874632,0.33546119837410576,2.5345279686411493,1.6625339642974324,3.238110090721381
occ_frac_gt_0p001,0.3243816030223686,0.05877960226114181,0.3150735231164384,0.18294263068972372,0.4722309981684982
occ_entropy_gt_0p001,0.8976117952825234,0.06391894284579902,0.8989305246332027,0.6864722840785838,0.9977738800964118
occ_frac_gt_0p01,0.3146599054468004,0.05597940716646092,0.3076082610629913,0.17824301828662295,0.45170787545787544
occ_entropy_gt_0p01,0.8878935545425064,0.06481803745074097,0.8903466625528993,0.6762182999316456,0.993260395942874
occ_frac_gt_0p05,0.27840021254347824,0.051138713908497675,0.2650608676615096,0.1634174368912741,0.404541742979243
occ_entropy_gt_0p05,0.8438486951397308,0.06991185092047301,0.834287324097978,0.642422823252981,0.9735454228661167
occ_frac_gt_0p1,0.2132145681672312,0.03930449893960819,0.21203783041686083,0.12741901312192455,0.3124886133603239
occ_entropy_gt_0p1,0.7409534121775204,0.07317983725799972,0.7453599222152891,0.5503170903876944,0.896025279756475
occ_frac_gt_0p5,0.05541843613604438,0.01492512946136726,0.05615366816578386,0.030524876981957355,0.08465443317872937
occ_entropy_gt_0p5,0.30591046453444287,0.060866795731748795,0.3119789402725056,0.19701729894327635,0.4183707023492096
