condition,pretrain_seed,finetune_seed,AP25,AP50,AP75,eval_path
reverse_ramp_e300_det0,1,1,0.771807,0.570597,0.092359,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/nerfmae_alpha_rgba_curr_reverse_ramp_p1.0_e300_seed1_abci3reverse_det0_epoch300_sched_epoch_seed1_fcos1000_eval/eval.json
reverse_ramp_e300_det0,1,2,0.803319,0.527878,0.068274,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/nerfmae_alpha_rgba_curr_reverse_ramp_p1.0_e300_seed1_abci3reverse_det0_epoch300_sched_epoch_preseed1_ftseed2_fcos1000_eval/eval.json
reverse_ramp_e300_det0,1,3,0.757281,0.355721,0.000077,/groups/gag51404/ide/vgi/NeRF-MAE/output/nerf_rpn/results/nerfmae_alpha_rgba_curr_reverse_ramp_p1.0_e300_seed1_abci3reverse_det0_epoch300_sched_epoch_preseed1_ftseed3_fcos1000_eval/eval.json
reverse_ramp_e300_det0_mean_std,1,"1,2,3",0.777469 ± 0.023535,0.484732 ± 0.113750,0.053570 ± 0.047866,
