arm,stage,target,balanced_ap,auroc,acc_at_logit0,n,pos_frac,train_n,train_pos_frac,val_n,val_pos_frac
scratch,0,objectness,0.4763068971838465,0.484375,0.46875,64,0.5,32,0.5,64,0.5
scratch,0,occupancy,0.828248548702165,0.814453125,0.625,64,0.5,32,0.5,64,0.5
scratch,0,shell,0.5294733825786644,0.505859375,0.515625,64,0.5,32,0.5,64,0.5
