scene,threshold,shape,slice_axis,slice_index,alpha_max,alpha_mean,occupied_voxels,occupied_ratio,component_count,shell_voxels,shell_ratio_total,shell_ratio_occupied,grad_mag_mean,grad_mag_p95,dist_mean,dist_p50,dist_p90,dist_p99
3dfront_1000_01,0.01,117x160x89,2,87,1.0,0.10182319581508636,524388,0.31474358974358974,430,315161,0.18916318544127533,0.6010072694264552,0.07219967991113663,0.374416898190975,5.3001484870910645,3.0,15.842979431152344,16.0
3dfront_1000_01,0.05,117x160x89,2,87,1.0,0.10182319581508636,477670,0.28670291942763854,352,330812,0.19855709209641795,0.6925534364728788,0.07219967991113663,0.374416898190975,5.599018096923828,3.0,16.0,16.0
3dfront_1000_01,0.1,117x160x89,2,0,1.0,0.10182319581508636,394342,0.23668851435705368,497,309000,0.18546528377989052,0.7835837927484265,0.07219967991113663,0.374416898190975,5.929252624511719,3.605551242828369,16.0,16.0
3dfront_0053_00,0.01,95x160x85,2,0,1.0,0.08282823860645294,338093,0.26168188854489166,284,272403,0.21083823529411766,0.8057043476203293,0.07422365993261337,0.38082216382026673,4.128544330596924,2.2360680103302,12.12435531616211,16.0
3dfront_0053_00,0.05,95x160x85,2,0,1.0,0.08282823860645294,310618,0.24041640866873065,287,263685,0.2040905572755418,0.8489044421121764,0.07422365993261337,0.38082216382026673,4.211759567260742,2.2360680103302,12.206555366516113,16.0
3dfront_0053_00,0.1,95x160x85,2,0,1.0,0.08282823860645294,260071,0.20129334365325077,380,232305,0.17980263157894738,0.8932368468610494,0.07422365993261337,0.38082216382026673,4.525583744049072,2.4494898319244385,13.0,16.0
3dfront_1003_03,0.01,160x110x84,2,82,1.0,0.09865285456180573,512457,0.3466294642857143,352,386679,0.2615523538961039,0.7545589190897968,0.0863967090845108,0.4189280167222023,3.783590793609619,1.4142135381698608,12.083045959472656,16.0
3dfront_1003_03,0.05,160x110x84,2,82,1.0,0.09865285456180573,455928,0.30839285714285714,313,374815,0.25352746212121213,0.8220925233808847,0.0863967090845108,0.4189280167222023,3.9436662197113037,1.4142135381698608,12.369317054748535,16.0
3dfront_1003_03,0.1,160x110x84,2,3,1.0,0.09865285456180573,355259,0.24029964826839828,461,317414,0.21470102813852815,0.8934720865621982,0.0863967090845108,0.4189280167222023,4.2421345710754395,2.0,13.0,16.0
3dfront_0092_00,0.01,160x152x109,2,0,1.0,0.08498746156692505,760886,0.2870314763399324,581,530032,0.19994567841622404,0.6965984391879992,0.06046281009912491,0.3294831544160843,5.257434368133545,3.0,16.0,16.0
3dfront_0092_00,0.05,160x152x109,2,0,1.0,0.08498746156692505,708057,0.26710262252535005,546,513562,0.19373264727184936,0.7253116627616139,0.06046281009912491,0.3294831544160843,5.480469226837158,3.1622776985168457,16.0,16.0
3dfront_0092_00,0.1,160x152x109,2,0,1.0,0.08498746156692505,563683,0.21263995352486723,895,431950,0.16294588966682763,0.7662994981221715,0.06046281009912491,0.3294831544160843,5.984194278717041,3.7416574954986572,16.0,16.0
3dfront_0045_00,0.01,156x160x111,2,3,1.0,0.08071185648441315,725081,0.2617091851466851,623,533266,0.19247588935088936,0.7354571420296491,0.06279809772968292,0.3501099988818168,5.344032287597656,3.0,16.0,16.0
